title,company_name,location,job_type,workplace,detail_Experience Needed:,detail_Career Level:,detail_Education Level:,detail_Salary:,skill,detail_Gender:
Logistics & Supply Chain Specialist,Trichem,"New Cairo, Cairo",Full Time,On-site,3 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,"Logistics, Purchasing, Supply Chain",
Senior Accountant,Decotam,"6th of October, Giza",Full Time,On-site,3 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,"Accounting, ERP, Finance, Tax, Microsoft Excel, Reporting, Financial Analysis, Commerce, Financial, Financial Management, Management",
A B2B Sales Manager,Holw El Sham,"Giza, Egypt",Full Time,On-site,5 To 10 Years,Manager,Not Specified,"60000 To 80000 EGP Per Month, Year-End Bonus Medical Coverage As Per Company Policy Social Insurance","B2B Sales, CRM, Communication, Negotiation, Sales Target, Sales, B2B",
Irrigation and fertilizer engineer,Naqaa,"Siwa Oasis, Matruh",Full Time,On-site,5 To 7 Years,Experienced (Non-Manager),Not Specified,Confidential,"Agricultural Engineering, Irrigation Systems, fertigation systems",
Debt Collector,Cardoo Ltd,"Limassol, Cyprus",Full Time,Remote,1 To 4 Years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,"500 To 500 EUR Per Month, Bonus Based On Performance( Monthly Target )","Debt Management, Data Collection, Customer Support, Customer Service, Negotiation, Collection",
HSE Engineer,Hayat,"Ain Sokhna, Suez",Internship,On-site,Not Specified,Entry Level (Junior Level / Fresh Grad),Not Specified,Paid,"Engineering, HSE, Health, Safety & Environment, Communication, Microsoft Office, Safety, Safety Regulations",
Pavement Assessment Engineer,Citylogix ME,"New Cairo, Cairo",Full Time,On-site,0 To 4 Years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,"15000 To 17000 EGP Per Month, Performance Bonus","Engineering Services, Roads, Transportation engineering, Engineering, QA, Highways, Civil Engineering",
Pharmacist Assistant (New Cairo),Yodawy,"New Cairo, Cairo",Full Time,On-site,More Than 2 Years,Experienced (Non-Manager),Bachelor's Degree,Confidential,"Pharmaceutical, Medical Insurance, Pharmacy, Warehouse",Male
Brand Manager,Cherif Antoun Jewelry,"Cairo, Egypt",Part Time,Hybrid,2 To 4 Years,Experienced (Non-Manager),Diploma,"Confidential, Bonuses Available Per Year","Brand Management, Photography, Photo Editing",
Senior Sales Engineer,Alfa Tech,"6th of October, Giza",Full Time,On-site,3 To 7 Years,Experienced (Non-Manager),Bachelor's Degree,Confidential,"Sales, Communication, Electrical Engineering, Negotiation, Technical Support, Computer Science, Engineering, Information Technology (IT)",
Sales Specialist - Port Said,Al-Amal Al-sharif For Pl...,"Port Said, Egypt",Full Time,On-site,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,"Confidential, Profit Share - Transportation","Customer Service, Sales, Sales Target, plastic pipes, fittings, Sales Field, Outdoor Sales",
Spare Parts Senior Sales Representative,GB Corp,"Obour City, Cairo",Full Time,On-site,3 To 5 Years,Experienced (Non-Manager),Bachelor's Degree,"Confidential, Commission","Communication skills, Negotiation Skills, English, Microsoft Office, Sales, Sales Skills, Sales Target",
Business Support Specialist,GPS,"Heliopolis, Cairo",Full Time,On-site,1 To 3 Years,Entry Level (Junior Level / Fresh Grad),Not Specified,Confidential,"Administration, Business Administration, Communication, Management, Microsoft Office",Male
Event Specialist,OPPO Egypt,"Nasr City, Cairo",Full Time,On-site,2 To 4 Years,Experienced (Non-Manager),Bachelor's Degree,Confidential,"Events, Event, Market Research, Social Media, Offline Marketing, Planning, Marketing",
